id,time
3,0.97
5,0.72
7,2.64
8,1.49
9,0.46
10,0.0
13,1.26
17,0.68
18,0.83
23,0.16
29,2.23
30,1.4
31,0.05
32,0.44
33,1.31
34,0.85
35,1.18
36,0.62
37,0.64
39,1.62
42,2.57
44,0.14
46,0.16
48,0.07
50,0.8
51,0.66
52,0.01
55,0.64
57,1.31
58,0.22
61,0.07
64,0.38
74,1.07
76,0.29
77,0.77
78,1.29
79,0.24
82,0.75
84,0.74
88,1.43
89,1.03
90,0.9
92,1.44
94,0.06
95,0.16
99,0.19
100,1.0
101,0.92
103,0.63
104,0.04
105,4.36
107,0.16
109,1.46
110,1.01
111,0.19
113,1.28
114,1.0
117,0.38
118,1.92
119,0.46
120,0.06
130,0.0
131,0.73
133,0.82
134,1.42
141,0.95
145,0.81
147,0.61
148,0.03
149,1.18
150,0.7
153,0.89
155,1.09
156,0.19
158,0.74
163,0.23
165,0.31
167,0.74
168,2.43
169,0.31
174,0.13
176,0.82
178,1.48
179,2.64
180,0.26
181,0.38
182,1.62
183,0.18
184,1.66
185,0.06
190,0.53
191,0.31
193,0.44
196,1.05
197,1.02
198,0.97
200,0.6
203,0.63
204,1.01
205,0.36
206,0.05
208,0.32
210,2.01
213,0.1
214,0.15
218,0.02
219,0.39
221,1.81
222,0.44
224,1.22
228,0.02
233,1.35
234,0.05
238,0.4
239,0.34
240,0.7
241,1.13
242,1.09
244,3.04
245,0.07
246,0.34
247,0.49
248,1.42
249,0.83
