"lambda","dev_ratio","df"
0.251376150747509,0,0
0.229044586356648,0.00969321595870497,1
0.208696896596138,0.0177181275013181,1
0.190156839511763,0.0243660454541207,1
0.173263829998761,0.0335810992368076,2
0.157871548890475,0.0453074583950091,3
0.14384667561173,0.0576287067697445,3
0.131067733419791,0.067884034401192,3
0.119424037230934,0.0764261550365393,3
0.108814734919205,0.0835447500228655,3
0.09914793378355,0.089478814446245,3
0.0903399046172029,0.0944262130516033,3
0.0823143564853531,0.0985511869313582,3
0.0750017759295657,0.101990330396773,3
0.0683388248754606,0.104857403209627,3
0.0622677920286136,0.107247240507511,3
0.0567360930069335,0.109238952852247,3
0.0516958148799014,0.110898560398229,3
0.0471033011696884,0.112281199055671,3
0.0429187737196299,0.113432816190767,3
0.0391059881548633,0.11439183891048,3
0.0356319199508922,0.115190318391104,3
0.0324664783909545,0.115855001830815,3
0.0295822459346292,0.116408205557903,3
0.0269542407402184,0.1168685447004,3
0.0245597002839858,0.117251543176888,3
0.0223778842020658,0.117570143701655,3
0.0203898946473542,0.117835134184144,3
0.0185785126053974,0.118055504182206,3
0.016928048751527,0.118238742821343,3
0.0154242075574351,0.118391087726779,3
0.0140539634701476,0.118517732961461,3
0.0128054480909156,0.118623002665254,3
0.0116678473768235,0.118710496004817,3
0.0106313079747225,0.11878320813386,3
0.00968685187620005,0.118843631100654,3
0.00882629865436569,0.118893837999903,3
0.00804219460890709,0.118935553129231,3
0.00732774820570382,0.118970205269987,3
0.00667677125180793,0.118998997909958,3
0.00608362529627709,0.11902291635843,3
0.00554317279261003,0.119042784729103,3
