"lambda","dev_ratio","df"
0.270859248294008,0,0
0.246796859194938,0.0102814597832328,1
0.224872106424706,0.0188174117582061,1
0.204895088263431,0.0259074977444358,1
0.186692773336634,0.0317988433366505,1
0.170107501900252,0.0366952226179631,1
0.154995620267354,0.0407653406816698,1
0.141226236548632,0.0443061065441117,2
0.12868008692947,0.0502856814620658,2
0.117248502663836,0.0552333586104997,2
0.106832468837595,0.0593294068657374,2
0.0973417667486856,0.0627220278750976,2
0.0886941924758835,0.0655331798675128,2
0.0808148448677636,0.0678633432772436,2
0.0736354767847573,0.0697953936674465,2
0.0670939039750776,0.071397753869914,2
0.0611334664644796,0.0727269641028189,2
0.0557025377946691,0.0738297815808951,2
0.0507540778596179,0.0747448990739951,2
0.0462452254666696,0.0755043541805996,2
0.0421369270933929,0.0761346869704519,2
0.0383935986246533,0.076657892414709,2
0.0349828171400309,0.07709220507551,2
0.0318750400819948,0.0774527463913004,2
0.029043349372402,0.0777520591887432,2
0.0264632182609829,0.0780005494754678,2
0.0241122988863629,0.0782066758757065,2
0.0219702287095789,0.078377975859567,2
0.0200184541435076,0.0785201998849726,2
0.0182400698505699,0.0786382842834767,2
0.0166196723167843,0.0787363269299101,2
0.0151432264338975,0.0788177297312334,2
0.0137979439339909,0.0788853169544919,2
0.0125721726236222,0.0789414333914576,2
0.0114552954580993,0.0789880258109553,2
0.010437638581719,0.0790267105544343,2
0.00951038753745645,0.0790588296390424,2
0.00866551092035522,0.0790854973267732,2
0.00789569081333973,0.0791076387828887,2
0.00719425940291838,0.0791258036641598,2
0.00655514122577288,0.0791410986825843,2
0.00597280054600149,0.0791538009149849,2
