"lambda","dev_ratio","df"
0.234775242480599,0,0
0.21391845702484,0.00826318196202486,1
0.194914530903614,0.0151365521510995,1
0.177598861200483,0.0208548170420478,1
0.161821467868425,0.0261111754214754,2
0.147445694674423,0.0352876578981227,2
0.134347025548551,0.0429340839302499,2
0.122412006085342,0.0493050974010159,2
0.11153726085601,0.0546128161914047,2
0.10162859801994,0.05903404202229,2
0.0926001934800253,0.0627162172557312,2
0.0843738475153979,0.0657823338583826,2
0.0768783074528591,0.0683349978966993,2
0.0700486505103104,0.0704598061144069,2
0.0638257214666752,0.072228157545997,2
0.0581556202876742,0.0736995983381409,2
0.0529892352695143,0.0749237792088936,2
0.0482818176568061,0.0759420904748998,2
0.0439925940502526,0.0767890281364398,2
0.0400844132469712,0.0774933353353436,2
0.036523424454547,0.0780789560471582,2
0.0332787840916643,0.0785658317534666,2
0.0303223886357604,0.0789705667858464,2
0.0276286312037583,0.0793069838335967,2
0.0251741797574961,0.0795865876056546,2
0.0229377750127743,0.0798189517100291,2
0.0209000463016073,0.0800120413635602,2
0.0190433437927638,0.0801724824913586,2
0.0173515856173729,0.0803057860538169,2
0.0158101185754693,0.0804165349957842,2
0.0144055912169854,0.0805085400024966,2
0.0131258381978788,0.0805849692327565,2
0.0119597749097415,0.0806484563502017,2
0.0108973014702251,0.0807011858645517,2
0.00992921524269198,0.0807449870332471,2
0.00904713112737904,0.0807813665344468,2
0.00824340893367516,0.0808115808172011,2
0.0075110872044453,0.0808366738786796,2
0.00684382291921914,0.0808575131266751,2
0.00623583655398237,0.0808748192004891,2
0.00568186202170459,0.080889190769926,2
