"lambda","dev_ratio","df"
0.211042264163259,0,0
0.192293851071849,0.0084121767400932,1
0.175210995326687,0.0154172879738136,1
0.159645733403602,0.0212509656463717,1
0.145463246450105,0.0261091221023825,1
0.132540692548984,0.0301546992356894,1
0.120766142720388,0.033523333209571,1
0.110037611446545,0.0363279956226441,1
0.100262173322,0.038662815702901,1
0.091355158178202,0.0406062400258518,1
0.083239417711017,0.0422236519556762,1
0.0758446572590188,0.0435695477275612,1
0.0691068269447622,0.0446893469764897,1
0.0629675669053857,0.0456209007733733,1
0.0573737018073977,0.046906907686399,2
0.0522767802673767,0.0481232716003682,2
0.0476326551892668,0.0491341779465719,2
0.0434011013833511,0.0499742505020292,2
0.0395454671549019,0.0506722982552568,2
0.036032356844735,0.0512522864194116,2
0.0328313415719856,0.0517341474558772,2
0.0299146956736994,0.0521344570403914,2
0.0272571565584041,0.0524669973262419,2
0.0248357058936268,0.0527430373986797,2
0.0226293702321107,0.0529724996580765,2
0.0206190393498478,0.0531630898915544,2
0.018787300722461,0.0533213866937261,2
0.0171182887062481,0.053452856995743,2
0.0155975471175657,0.0535620434180204,2
0.0142119040202824,0.0536527202567427,2
0.0129493576367693,0.053728023217283,2
0.0117989723942439,0.053790557295439,2
0.0107507842060698,0.0538424864740438,2
0.00979571416760543,0.0538856082902269,2
0.00892548991907492,0.0539214158177316,2
0.00813257399434532,0.0539511491826307,2
0.00741009853500083,0.0539758383756161,2
0.00675180580423871,0.0539961269480467,2
0.0061519939853467,0.0540131802452695,2
0.00560546779529441,0.0540273429930321,2
0.00510749348567707,0.0540391029185562,2
0.00465375784125143,0.0540488675303851,2
