"lambda","dev_ratio","df"
0.198192470450932,0,0
0.180585597633056,0.00693157729856413,2
0.164542870868354,0.0170886923075321,2
0.149925335732555,0.0255225091308068,2
0.136606382129451,0.03252388134964,2
0.124470647654821,0.0383349186266071,2
0.113413018382473,0.0431572114481447,2
0.103337718417705,0.04715847909224,2
0.0941574803323204,0.0504781839129515,2
0.0857927892959205,0.0532322314716479,2
0.0781711943564794,0.0555169045643254,2
0.0712266809048608,0.0574121533063024,2
0.0648990988878546,0.0589843436455316,2
0.0591336418171929,0.0602885507443474,2
0.053880372061968,0.0613704704155068,2
0.0490937883127645,0.062268010569601,2
0.0447324314710847,0.0630126150396912,2
0.0407585255504723,0.0636303639398682,2
0.0371376504789897,0.0641428876978779,2
0.0338384439690219,0.0645681259231685,2
0.030832329872145,0.064920957196209,2
0.0280932706661997,0.0652137215725218,2
0.0255975419307308,0.0654566539777158,2
0.0233235268574073,0.0656582436313388,2
0.0212515290155702,0.0658255320920178,2
0.019363601751173,0.0659643603891134,2
0.0176433927414502,0.0660795739316593,2
0.0160760023589207,0.0661751924076052,2
0.0146478546179424,0.0662545506571987,2
0.0133465795860198,0.066320415483052,2
0.0121609062413662,0.0663750825114226,2
0.0110805648487054,0.0664204565156672,2
0.0100961980077376,0.0664581180292221,2
0.00919927960381495,0.066489378591643,2
0.0083820409588153,0.0665153265701491,2
0.0076374035425688,0.0665368651667237,2
0.00695891766201614,0.0665547439453365,2
0.00634070659705277,0.0665695849855791,2
0.00577741569919085,0.0665819045798151,2
