"lambda","dev_ratio","df"
0.644691036871263,0,0
0.587418462049469,0.0112469911414842,1
0.535233824920491,0.022190082038767,2
0.487685127123045,0.0402130902336041,2
0.444360524584468,0.0567488178445118,2
0.40488476032439,0.0718433176373796,2
0.368915914158295,0.0855544869272905,2
0.336142441148462,0.0979497204149163,2
0.306280473150759,0.10910357446455,2
0.279071360084581,0.119095564822918,2
0.254279429629597,0.133437931723767,4
0.231689945944853,0.1469524783863,4
0.211107249729652,0.158878402492194,4
0.192353063516297,0.169361855699709,4
0.175264947515953,0.179521458677472,5
0.159694892642909,0.189718231125758,6
0.145508038530687,0.199198685466324,6
0.132581505436067,0.20928650433297,8
0.120803329913535,0.218636570940858,8
0.110071495041482,0.226742656695262,8
0.100293046800439,0.233752649663731,8
0.0913832889498257,0.239799928159759,8
0.0832650494296358,0.245004636212389,8
0.0758680119329729,0.249474325838436,8
0.06912810685984,0.253563126679097,9
0.0629869563769154,0.257554884654873,10
0.0573913687766889,0.261006392898497,10
0.0522928777563392,0.263951179297006,10
0.0476473226258048,0.266459072497196,10
0.0434144658090138,0.268664650212131,11
0.0395576443252501,0.270628660921861,11
0.0360434522319541,0.272396924504739,13
0.0328414512784298,0.273959272922093,15
0.0299239072642794,0.275565823783472,17
0.0272655498190276,0.27712719298315,18
0.0248433535222619,0.278462319258121,18
0.0226363384684569,0.279592933599977,18
0.0206253885490693,0.28054893140375,18
0.0187930858779512,0.281379869049517,19
0.0171235599259527,0.282111002848,20
0.0156023500579917,0.282727918569474,20
0.0142162802819501,0.283247279074919,20
0.0129533451245343,0.283684045219913,20
0.0118026056456084,0.284050986155687,20
0.0107540946903286,0.284358978172156,20
0.00979873055841577,0.284617267569207,20
0.00892823834281276,0.284833700800221,20
0.00813507825639812,0.285014925186913,20
0.00741238032595714,0.285166563313157,20
0.00675388488776052,0.285293364002632,20
0.00615388836935183,0.28539933264594,20
0.0056071938879315,0.285487829180147,20
0.00510906623744426,0.285561722442804,20
0.00465519087448965,0.285623382255101,20
0.00424163654781118,0.285674811901189,20
