"lambda","dev_ratio","df"
0.406755608674932,0,0
0.370620561497797,0.0179108417246797,1
0.337695652316662,0.0366829880753078,2
0.307695701319728,0.061383381794817,2
0.280360863283664,0.0820835078830567,2
0.255454376918595,0.0994323415831002,2
0.232760514155079,0.113971460154557,2
0.212082711610776,0.126153906455237,2
0.193241868052464,0.136359132701732,2
0.176074793106845,0.144905522675912,2
0.160432793783598,0.152060303835492,2
0.146180386567837,0.161335966637811,4
0.133194123926718,0.173807568701514,4
0.121361525065972,0.184162641331235,4
0.110580101675071,0.192764923115952,4
0.100756470222519,0.19991397671157,4
0.0918055431123731,0.206576409341506,5
0.083649791696197,0.213975781522512,6
0.0762185747569974,0.222179131281726,7
0.0694475266487974,0.230064475615843,7
0.0632779997922048,0.237168103474775,8
0.0576565566971363,0.243446893723847,8
0.0525345071128435,0.24919955774901,9
0.0478674862962547,0.254272108915803,9
0.0436150707457949,0.2585036897192,9
0.0397404280723538,0.262033360744496,9
0.0362099979747526,0.264976968779088,9
0.0329932015564706,0.267431437483929,9
0.0300621764658723,0.269477653033501,9
0.0273915355658477,0.2712071543114,10
0.0249581470425757,0.272702136224843,10
0.0227409340488193,0.274237248025266,12
0.0207206921463581,0.275622603031486,12
0.0188799229663321,0.276836136261668,14
0.0172026826467418,0.277952411059077,14
0.0156744437343434,0.278936036649983,17
0.014281969354799,0.280021616404188,18
0.0130131985612031,0.280947978559756,18
0.0118571418679313,0.281721144462023,18
0.0108037860649727,0.282392504743478,19
0.00984400748829561,0.282974812328101,20
0.0089694929950341,0.283468958050703,20
0.00817266795902196,0.283881015992354,20
0.00744663066300441,0.284224504287035,20
0.0067850925192651,0.28451074149715,20
0.00618232360088784,0.284749198660392,20
0.00563310301187088,0.284947796267024,20
0.00513267366622345,0.285113154483528,20
0.00467670108436276,0.285250803773471,20
0.00426123584992548,0.285365349466019,20
0.00388267940181265,0.285460672603555,20
0.00353775286517498,0.285539974100223,20
0.0032234686513676,0.285605935420798,20
0.00293710458088646,0.285660790834211,20
0.00267618030515181,0.285706405565051,20
