"lambda","dev_ratio","df"
0.322345518435632,0,0
0.293709231024735,0.0179108417246799,1
0.267616912460246,0.0336339496956875,2
0.243842563561523,0.0588346605784402,2
0.222180262292234,0.0799523092108221,2
0.202442380162195,0.0976499500152321,2
0.184457957079147,0.11248070524456,2
0.168071220574231,0.124907122320278,2
0.153140236575379,0.135316518312067,2
0.139535680042291,0.144921761175141,4
0.127139714814799,0.160148784349016,4
0.115844972972426,0.172789848363078,4
0.105553624864826,0.183291114916058,4
0.0961765317581485,0.19201956279572,4
0.0876324737579764,0.20080915866025,5
0.0798474463214544,0.209647119734872,6
0.0727540192653437,0.218594783603829,7
0.0662907527180337,0.227364388280745,8
0.0604016649567674,0.235254671272128,8
0.0550357475207411,0.241831164300322,8
0.0501465234002196,0.247313683724227,8
0.0456916444749129,0.251884728889692,8
0.0416325247148179,0.255759557242125,9
0.0379340059664865,0.259742849821837,9
0.03456405342992,0.263065488205427,9
0.0314934781884577,0.265842667671255,10
0.0286956843883445,0.268233793826517,10
0.0261464388781696,0.270224590770189,10
0.0238236613129024,0.271881922976189,10
0.0217072329045069,0.273412629051186,11
0.0197788221626251,0.274746419861466,13
0.0180217261159771,0.276170422909164,14
0.0164207256392149,0.277419176767811,15
0.0149619536321397,0.278704081797529,18
0.0136327749095138,0.279846718457015,18
0.0124216767611309,0.280801108930336,18
0.0113181692342284,0.281597926214715,18
0.0103126942745347,0.282286460070741,19
0.00939654293897559,0.282885265926398,20
0.00856177996297637,0.283394006265598,20
0.00780117502899585,0.283818320479377,20
0.00710814014097507,0.284172092293415,20
0.00647667256226715,0.28446695071032,20
0.00590130282280422,0.28471262991636,20
0.0053770473451643,0.284917273134844,20
0.00489936527920788,0.285087688785333,20
0.00446411917140638,0.285229566232215,20
0.00406753912819906,0.285347657327092,20
0.00370619016297857,0.28544591662735,20
0.00337694244388026,0.28552768091725,20
0.00307694418467592,0.285595697006906,20
0.00280359694396575,0.28565226714989,20
0.00255453311872213,0.285699309391896,20
