"lambda","dev_ratio","df"
0.135353089805105,0.188398017633374,3
0.123328694366253,0.19295693789818,4
0.112372513076616,0.199499218475406,5
0.102389648735385,0.205622110819628,5
0.0932936345475135,0.210690189537568,5
0.0850056851897089,0.21488730540638,5
0.0774540144096518,0.219752910284959,6
0.0705732132478219,0.227174027585572,8
0.0643036834963831,0.234623448177753,8
0.0585911214880191,0.240818741812313,8
0.0533860477435466,0.246047787943545,9
0.0486433784043377,0.251782829362249,10
0.0443220347375053,0.256676977330558,10
0.0403845873315708,0.2607538118485,10
0.036796931900809,0.264150009345043,10
0.0335279938902401,0.266979204997497,10
0.0305494593227014,0.269335986690578,10
0.0278355295567224,0.271299008453142,10
0.0253626978310349,0.27295476149044,11
0.0231095456602524,0.274381146463835,11
0.0210565573181968,0.275567098981104,11
0.0191859508020143,0.276571342184685,12
0.0174815238129742,0.277574415087619,12
0.0159285134199083,0.278521669231571,14
0.0145134681897637,0.279396925370993,15
0.0132241316777254,0.280209549442016,17
0.0120493362677544,0.281049027988909,18
0.0109789064440407,0.281811463799037,18
0.010003570655553,0.28247608670465,19
0.00911488101029942,0.283036841385243,19
0.00830514010372875,0.283518978222651,20
0.00756733434749443,0.283924946042006,20
0.00689507322110786,0.284262816995809,20
0.00628253392030708,0.284543958923985,20
0.00572441092271204,0.284777843677351,20
0.00521587003392784,0.284972401024713,20
0.00475250651606566,0.285134210185789,20
0.00433030693601041,0.285268763920738,20
0.00394561440298313,0.285380635739812,20
0.00359509689430257,0.285473642187196,20
0.00327571839499879,0.285550953811677,20
0.00298471260130391,0.285615212372403,20
0.00271955896025234,0.285668611037477,20
0.0024779608378568,0.285712991245918,20
