"lambda","dev_ratio","df"
322.345518435631,0,20
293.709231024735,0.000814587948311108,20
267.616912460246,0.000893777275961569,20
243.842563561523,0.00098064012240814,20
222.180262292234,0.00107591507516451,20
202.442380162195,0.00118041073270946,20
184.457957079147,0.00129501218609573,20
168.071220574231,0.00142068800427134,20
153.140236575379,0.00155849780600828,20
139.535680042291,0.00170960045700904,20
127.139714814799,0.00187526293093893,20
115.844972972426,0.00205686987264497,20
105.553624864826,0.00225593390053074,20
96.1765317581486,0.0024741066826886,20
87.6324737579764,0.00271319081777863,20
79.8474463214544,0.0029751525463797,20
72.7540192653437,0.00326213531138484,20
66.2907527180337,0.00357647417648688,20
60.4016649567674,0.00392071109945069,20
55.0357475207411,0.00429761104120747,20
50.1465234002196,0.00471017887214354,20
45.6916444749129,0.00516167811378815,20
41.6325247148179,0.00565564516186067,20
37.9340059664865,0.00619591376087536,20
34.56405342992,0.0067866305917446,20
31.4934781884577,0.00743227537084442,20
28.6956843883445,0.00813767995086684,20
26.1464388781696,0.00890804691109192,20
23.8236613129024,0.0097489672072933,20
21.7072329045069,0.0106664363612492,20
19.7788221626251,0.0116668685684498,20
18.0217261159771,0.0127571079904435,20
16.4207256392149,0.0139444363759878,20
14.9619536321397,0.0152365760245149,20
13.6327749095138,0.016641686968899,20
12.4216767611309,0.0181683571160835,20
11.3181692342284,0.0198255839491087,20
10.3126942745347,0.0216227462697795,20
9.39654293897559,0.0235695643567046,20
8.56177996297637,0.0256760468402551,20
7.80117502899585,0.0279524225677065,20
7.10814014097507,0.030409055764366,20
6.47667256226715,0.0330563429074825,20
5.90130282280422,0.0359045899382886,20
5.3770473451643,0.0389638687628026,20
4.89936527920788,0.0422438625311727,20
4.46411917140638,0.0457536428529334,20
4.06753912819906,0.0495015140954178,20
3.70619016297857,0.053494756524805,20
3.37694244388026,0.0577393924613265,20
3.07694418467592,0.0622399331513508,20
2.80359694396575,0.066999119108342,20
2.55453311872213,0.0720176606403872,20
2.32759543724483,0.0772939866010432,20
2.12081827390559,0.0828240105861294,20
1.93241062383935,0.0886009247409847,20
1.76074059011687,0.0946150319188751,20
1.6043212490343,0.10085362701917,20
1.4617977710914,0.10730093782153,20
1.33193568610652,0.113938159930654,20
1.21361019082655,0.120743450306696,20
1.10579640641917,0.127692219274448,20
1.0075605014628,0.134757299946424,20
0.918051603545489,0.141909293133588,20
0.83649442941523,0.149116967003081,20
0.762182569847274,0.156347719535448,20
0.6944723710654,0.16356809019298,20
0.632777359720836,0.170744285187917,20
0.576563163140675,0.177842895581927,20
0.52534288084744,0.184831045437702,20
0.478672867260079,0.191677407711898,20
0.436148889048187,0.198352429447478,20
0.397402623856287,0.204828835125261,20
0.362098470071796,0.211082086845299,20
0.329930640004406,0.217090418120477,20
0.300620511299409,0.222835432788136,20
0.27391421364415,0.228302038722305,20
0.249580429864836,0.233478665874076,20
0.227408392367836,0.238356947784517,20
0.207206057571623,0.242932082001015,20
0.188798442517143,0.247202418330116,20
0.172026109249137,0.25116954878728,20
0.156743783840849,0.254837455045598,20
0.142819098100773,0.258212982069073,20
0.130131443062704,0.261305267521987,20
0.118570924328573,0.264125009776925,20
0.108037410215744,0.266684776649789,20
0.0984396644642864,0.268998373419381,20
0.0896945559921348,0.271080310373301,20
0.0817263388534297,0.272945901291625,20
0.0744659961633715,0.274610707766826,20
0.0678506423069819,0.276090455962501,20
0.0618229782539925,0.277400434780708,20
0.0563307952620565,0.278555782881577,20
0.0513265226695999,0.279571018045281,20
0.0467668158615088,0.280459998376278,20
0.0426121808388101,0.28123584698671,20
0.038826632140546,0.281910659070804,20
0.0353773811549273,0.282495817236867,20
0.0322345521200647,0.283001734225223,20
